"industry","gender","average_salary"
" Buyer","Woman","76650.000000000000"
" Veterinary medicine","Woman","155000.000000000000"
"Academia","Man","56400.000000000000"
"Academia--cell and molecular biology","Woman","48000.000000000000"
"Academia - STEM","Woman","32000.000000000000"
"Academia / Research","Woman","68500.000000000000"
"Academic Medicine ","Man","55000.000000000000"
"Academic Press Production","Woman","42000.000000000000"
"Academic Publishing","Woman","49300.000000000000"
"Academic research","Man","71750.000000000000"
