"age_range","gender","median_salary"
"18-24","Man","52000"
"18-24","Non-binary","39000"
"18-24","Others","50000"
"18-24","Woman","52000"
"25-34","Man","82000"
"25-34","Non-binary","55000"
"25-34","Others","75000"
"25-34","Woman","69000"
"35-44","Man","105000"
"35-44","Non-binary","76175"
"35-44","Others","85000"
"35-44","Woman","80000"
"45-54","Man","120000"
"45-54","Non-binary","75000"
"45-54","Others","98500"
"45-54","Woman","82000"
"55-64","Man","117000"
"55-64","Non-binary","105000"
"55-64","Others","105000"
"55-64","Woman","78725"
"65 or over","Man","107000"
"65 or over","Non-binary","2000000"
"65 or over","Others","28000"
"65 or over","Woman","91000"
"under 18","Non-binary","126276"
"under 18","Woman","42500"
