"job_title","years_of_professional_experience_overall","total_compensation"
"Senior Software Engineer","11 - 20 years","19819458"
"Software Engineer","5-7 years","19384518"
"Software Engineer","2 - 4 years","17124192"
"Director","11 - 20 years","16740674"
"Software Engineer","11 - 20 years","16386532"
"Project Manager","8 - 10 years","14969802"
"Software Engineer","8 - 10 years","14628055"
"bum","41 years or more","10000299"
"Regional Sales Manager","5-7 years","10000000"
"Project Manager","11 - 20 years","9420190"
